Files in group 6:
Filename	Variants
PD4969a.vcf	1032
PD7199a.vcf	1130
PD24302a.vcf	1268
PD7210a.vcf	1319
PD9589a.vcf	1413
PD7214a.vcf	1493
PD18116a.vcf	1544
PD24307a.vcf	1594
PD14467a.vcf	1624
PD4981a.vcf	1663
PD11766a.vcf	1695
PD14442a.vcf	1746
PD18771a.vcf	1776
PD3851a.vcf	1819
PD11744a.vcf	1882
PD6016a2.vcf	1911
PD4086a.vcf	1951
PD11765a.vcf	2002
PD8623a.vcf	2020
PD7221a.vcf	2040
PD11381a.vcf	2097
PD5953a.vcf	2136
PD11394a.vcf	2209
PD3989a.vcf	2238
PD11338a.vcf	2300
PD11398a.vcf	2347
PD11396a.vcf	2435
PD24318a.vcf	2546
PD11352a.vcf	2586
PD13767a.vcf	2638
PD9541a.vcf	2706
PD9584a.vcf	2753
PD13752a.vcf	2809
PD9597a.vcf	2911
PD11366a.vcf	3005
PD7341a.vcf	3090
PD9842a.vcf	3201
PD9599a.vcf	3295
PD9605a.vcf	3373
PD9752a.vcf	3476
PD14433a.vcf	3582
PD11395a.vcf	3792
PD5946a.vcf	3912
PD5960a.vcf	4045
PD9756a.vcf	4212
PD14437a.vcf	4363
PD4255a.vcf	4554
PD13760a.vcf	4634
PD7206a.vcf	4740
PD4872a.vcf	4810
PD6719a.vcf	4971
PD8610a.vcf	5098
PD13163a.vcf	5353
PD7316a.vcf	5647
PD22361a.vcf	5899
PD7321a.vcf	6055
PD13165a.vcf	6341
PD8978a.vcf	6670
PD8969a.vcf	6820
PD7306a.vcf	6863
PD5928a.vcf	7114
PD4975a.vcf	7506
PD7250a.vcf	7890
PD10011a.vcf	8272
PD22360a.vcf	8510
PD24205a.vcf	8928
PD6047a.vcf	9442
PD4874a.vcf	9709
PD14453a.vcf	9916
PD24209a.vcf	10169
PD9604a.vcf	10669
PD13625a.vcf	11239
PD9064a.vcf	12351
PD6684a.vcf	13677
PD8980a.vcf	15459
PD24192a.vcf	17827
PD24201a.vcf	20478
PD24208a.vcf	25624
PD13425a.vcf	34502
PD23579a.vcf	87311

Summary for group 6:
Total files: 80
Total variants: 526027
Average variants per file: 6575.34
