Files in group 1:
Filename	Variants
PD9844a+.vcf	507
PD22036a+.vcf	1047
PD7199a+.vcf	1130
PD13605a+.vcf	1238
PD17994a+.vcf	1306
PD18269a+.vcf	1387
PD8614a+.vcf	1439
PD8618a+.vcf	1506
PD6417a+.vcf	1546
PD24307a+.vcf	1594
PD9577a+.vcf	1624
PD11341a+.vcf	1652
PD11819a+.vcf	1686
PD11769a+.vcf	1722
PD6414a+.vcf	1761
PD5947a+.vcf	1779
PD3851a+.vcf	1819
PD14432a+.vcf	1870
PD22365a+.vcf	1906
PD13755a+.vcf	1936
PD8612a+.vcf	1968
PD4985a+.vcf	2004
PD8623a+.vcf	2020
PD7221a+.vcf	2040
PD4076a+.vcf	2091
PD4264a+.vcf	2118
PD9759a+.vcf	2192
PD7238a+.vcf	2217
PD23570a+.vcf	2245
PD5961a+.vcf	2314
PD11398a+.vcf	2347
PD10010a+.vcf	2430
PD13168a+.vcf	2528
PD6044a+.vcf	2573
PD5944a+.vcf	2609
PD8620a+.vcf	2657
PD4965a+.vcf	2706
PD9584a+.vcf	2753
PD24204a+.vcf	2795
PD23550a+.vcf	2866
PD18257a+.vcf	2973
PD11745a+.vcf	3018
PD6048a+.vcf	3102
PD4967a+.vcf	3227
PD9599a+.vcf	3295
PD24336a+.vcf	3339
PD13428a+.vcf	3422
PD18050a+.vcf	3566
PD7066a+.vcf	3638
PD13623a+.vcf	3800
PD5930a+.vcf	3946
PD5960a+.vcf	4045
PD13608a+.vcf	4107
PD11358a+.vcf	4327
PD13311a+.vcf	4510
PD6413a+.vcf	4588
PD14441a+.vcf	4662
PD24207a+.vcf	4745
PD4872a+.vcf	4810
PD4876a+.vcf	4908
PD11340a+.vcf	5064
PD7240a+.vcf	5188
PD13162a+.vcf	5404
PD24337a+.vcf	5707
PD8973a+.vcf	5908
PD7321a+.vcf	6055
PD4976a+.vcf	6275
PD18259a+.vcf	6639
PD7243a+.vcf	6774
PD23578a+.vcf	6840
PD4953a+.vcf	6946
PD6042a+.vcf	7119
PD4975a+.vcf	7506
PD9702a+.vcf	7861
PD23563a+.vcf	8223
PD13627a+.vcf	8442
PD6409a+.vcf	8810
PD8984a+.vcf	9152
PD9000a+.vcf	9510
PD4874a+.vcf	9709

Summary for group 1:
Total files: 80
Total variants: 299088
Average variants per file: 3738.60
