Files in group 5:
Filename	Variants
PD24200a+.vcf	974
PD13419a+.vcf	1092
PD9606a+.vcf	1222
PD9591a+.vcf	1296
PD8999a+.vcf	1347
PD4194a+.vcf	1428
PD7214a+.vcf	1493
PD14473a+.vcf	1543
PD7201a+.vcf	1584
PD9573a+.vcf	1616
PD9574a+.vcf	1634
PD11389a+.vcf	1677
PD9755a+.vcf	1710
PD14442a+.vcf	1746
PD11756a+.vcf	1771
PD8622a+.vcf	1809
PD11355a+.vcf	1838
PD9754a+.vcf	1897
PD24332a+.vcf	1920
PD11757a+.vcf	1952
PD11765a+.vcf	2002
PD9600a+.vcf	2019
PD11347a+.vcf	2031
PD4069a+.vcf	2085
PD24329a+.vcf	2111
PD7204a+.vcf	2176
PD9065a+.vcf	2210
PD3989a+.vcf	2238
PD13758a+.vcf	2299
PD11364a+.vcf	2339
PD13167a+.vcf	2405
PD13754a+.vcf	2506
PD13763a+.vcf	2563
PD18754a+.vcf	2593
PD13767a+.vcf	2638
PD9001a+.vcf	2705
PD13164a+.vcf	2722
PD4951a+.vcf	2779
PD7207a+.vcf	2854
PD11343a+.vcf	2944
PD11366a+.vcf	3005
PD7341a+.vcf	3090
PD5951a+.vcf	3193
PD13607a+.vcf	3288
PD6416a+.vcf	3331
PD4315a+.vcf	3388
PD11399a+.vcf	3496
PD24206a+.vcf	3610
PD11395a+.vcf	3792
PD24314a+.vcf	3870
PD11816a+.vcf	4011
PD11760a+.vcf	4091
PD4192a+.vcf	4292
PD11464a+.vcf	4497
PD14457a+.vcf	4567
PD13760a+.vcf	4634
PD13609a+.vcf	4706
PD4968a+.vcf	4780
PD6729a2+.vcf	4872
PD11348a+.vcf	5010
PD7202a+.vcf	5141
PD13163a+.vcf	5353
PD7316a+.vcf	5647
PD13606a+.vcf	5893
PD5942a+.vcf	5990
PD22358a+.vcf	6158
PD9575a+.vcf	6500
PD6727b+.vcf	6679
PD11368a+.vcf	6828
PD7306a+.vcf	6863
PD4841a+.vcf	7020
PD11349a+.vcf	7449
PD24202a+.vcf	7779
PD11367a+.vcf	8164
PD13298a+.vcf	8367
PD6731a2+.vcf	8549
PD24205a+.vcf	8928
PD24216a+.vcf	9339
PD11326a+.vcf	9628
PD24190a+.vcf	9808

Summary for group 5:
Total files: 80
Total variants: 305374
Average variants per file: 3817.18
