Files in group 3:
Filename	Variants
PD18101a.vcf	863
PD9578a.vcf	1088
PD9606a.vcf	1222
PD14450a.vcf	1298
PD18269a.vcf	1387
PD4982a.vcf	1474
PD13304a.vcf	1517
PD7203a.vcf	1564
PD9581a.vcf	1616
PD18756a.vcf	1635
PD11819a.vcf	1686
PD11361a.vcf	1723
PD18728a.vcf	1769
PD8622a.vcf	1809
PD11355a.vcf	1838
PD18730a.vcf	1901
PD13755a.vcf	1936
PD11741a.vcf	1976
PD7322a.vcf	2015
PD13629a.vcf	2029
PD4069a.vcf	2085
PD13619a.vcf	2112
PD9759a.vcf	2192
PD9847a.vcf	2229
PD24221a.vcf	2293
PD11740a.vcf	2334
PD13167a.vcf	2405
PD14454a.vcf	2510
PD6044a.vcf	2573
PD24196a.vcf	2620
PD13426a.vcf	2699
PD11380a.vcf	2720
PD4951a.vcf	2779
PD7207a.vcf	2854
PD18257a.vcf	2973
PD13603a.vcf	3064
PD9845a.vcf	3147
PD4957a.vcf	3279
PD6416a.vcf	3331
PD18049a.vcf	3392
PD18050a.vcf	3566
PD14435a.vcf	3716
PD18734a.vcf	3828
PD23577a.vcf	3970
PD11760a.vcf	4091
PD4836a.vcf	4303
PD13311a.vcf	4510
PD13620a.vcf	4598
PD6733b.vcf	4676
PD8998a.vcf	4769
PD6729a2.vcf	4872
PD6406a.vcf	5026
PD7240a.vcf	5188
PD13765a.vcf	5479
PD4954a.vcf	5764
PD7067a.vcf	5980
PD22358a.vcf	6158
PD6404a.vcf	6553
PD7243a.vcf	6774
PD4962a.vcf	6843
PD17981a.vcf	6964
PD23562a.vcf	7348
PD24202a.vcf	7779
PD4116a.vcf	8170
PD13627a.vcf	8442
PD5945a.vcf	8833
PD4604a.vcf	9323
PD4006a.vcf	9575
PD24190a.vcf	9808
PD6730b.vcf	10089
PD24325a.vcf	10387
PD18024a.vcf	11104
PD11748a.vcf	11761
PD13771a.vcf	13089
PD5948a.vcf	15172
PD24327a.vcf	16185
PD11379a.vcf	19382
PD24333a.vcf	22884
PD4072a.vcf	27931
PD23561a.vcf	58028

Summary for group 3:
Total files: 80
Total variants: 478855
Average variants per file: 5985.69
