Files in group 3:
Filename	Variants
PD18101a+.vcf	863
PD13626a+.vcf	1076
PD18258a+.vcf	1142
PD11391a+.vcf	1274
PD7210a+.vcf	1319
PD9570a+.vcf	1406
PD7218a+.vcf	1474
PD13304a+.vcf	1517
PD9067a+.vcf	1554
PD11818a+.vcf	1605
PD18776a+.vcf	1629
PD4981a+.vcf	1663
PD4088a+.vcf	1691
PD11384a+.vcf	1725
PD18728a+.vcf	1769
PD13422a+.vcf	1805
PD13310a+.vcf	1831
PD11744a+.vcf	1882
PD6016a2+.vcf	1911
PD22362a+.vcf	1949
PD4986a+.vcf	1976
PD7322a+.vcf	2015
PD13306a+.vcf	2026
PD13770a+.vcf	2079
PD9761a+.vcf	2103
PD5953a+.vcf	2136
PD4248a+.vcf	2196
PD6721a+.vcf	2231
PD24221a+.vcf	2293
PD6045a+.vcf	2333
PD4266a+.vcf	2388
PD9467a+.vcf	2463
PD24318a+.vcf	2546
PD11383a+.vcf	2579
PD14462a+.vcf	2628
PD13426a+.vcf	2699
PD7220a+.vcf	2709
PD18031a+.vcf	2769
PD8997a+.vcf	2831
PD9597a+.vcf	2911
PD18769a+.vcf	2982
PD11337a+.vcf	3073
PD9845a+.vcf	3147
PD14471a+.vcf	3270
PD11743a+.vcf	3309
PD11357a+.vcf	3379
PD9752a+.vcf	3476
PD9539a+.vcf	3580
PD4978a+.vcf	3736
PD4826a+.vcf	3818
PD13424a+.vcf	3954
PD9572a+.vcf	4083
PD8615a+.vcf	4270
PD14437a+.vcf	4363
PD14460a+.vcf	4524
PD3905a+.vcf	4603
PD6733b+.vcf	4676
PD7305a+.vcf	4756
PD13764a+.vcf	4830
PD11388a+.vcf	4989
PD8610a+.vcf	5098
PD9464a+.vcf	5251
PD3890a+.vcf	5584
PD4954a+.vcf	5764
PD18037a+.vcf	5971
PD24191a+.vcf	6120
PD7215a+.vcf	6384
PD8978a+.vcf	6670
PD13418a+.vcf	6808
PD24304a+.vcf	6853
PD17981a+.vcf	6964
PD6410a+.vcf	7313
PD11752a+.vcf	7636
PD13753a+.vcf	7995
PD10011a+.vcf	8272
PD9592a+.vcf	8496
PD23565a+.vcf	8852
PD4604a+.vcf	9323
PD6415a+.vcf	9545
PD4115a+.vcf	9752

Summary for group 3:
Total files: 80
Total variants: 302465
Average variants per file: 3780.81
