Files in group 2:
Filename	Variants
PD7344a.vcf	722
PD13626a.vcf	1076
PD4972a.vcf	1145
PD9591a.vcf	1296
PD13768a.vcf	1352
PD8614a.vcf	1439
PD14458a.vcf	1513
PD9067a.vcf	1554
PD9573a.vcf	1616
PD9579a.vcf	1634
PD9193a.vcf	1682
PD11769a.vcf	1722
PD4983a.vcf	1763
PD13422a.vcf	1805
PD13618a.vcf	1833
PD8617a.vcf	1899
PD11375a.vcf	1934
PD8612a.vcf	1968
PD9843a.vcf	2010
PD13306a.vcf	2026
PD13756a.vcf	2083
PD24329a.vcf	2111
PD5950a.vcf	2190
PD7238a.vcf	2217
PD11346a.vcf	2292
PD6045a.vcf	2333
PD22364a.vcf	2402
PD13754a.vcf	2506
PD18149a.vcf	2570
PD5944a.vcf	2609
PD11359a.vcf	2666
PD7220a.vcf	2709
PD11755a.vcf	2776
PD24199a.vcf	2854
PD18748a.vcf	2958
PD18733a.vcf	3019
PD11360a.vcf	3116
PD14471a.vcf	3270
PD24219a.vcf	3319
PD4315a.vcf	3388
PD9567a.vcf	3512
PD7066a.vcf	3638
PD4826a.vcf	3818
PD13424a.vcf	3954
PD5956a.vcf	4085
PD4192a.vcf	4292
PD24303a.vcf	4500
PD6413a.vcf	4588
PD11393a.vcf	4669
PD7305a.vcf	4756
PD24322a.vcf	4868
PD11348a.vcf	5010
PD6422a.vcf	5181
PD13162a.vcf	5404
PD4845a.vcf	5735
PD18037a.vcf	5971
PD11369a.vcf	6134
PD9575a.vcf	6500
PD18264a.vcf	6680
PD23578a.vcf	6840
PD4199a.vcf	6948
PD6410a.vcf	7313
PD22357a.vcf	7719
PD11367a.vcf	8164
PD7307a.vcf	8424
PD6409a.vcf	8810
PD7217a.vcf	9169
PD6415a.vcf	9545
PD22355a.vcf	9761
PD11750a.vcf	10078
PD11345a.vcf	10351
PD4847a.vcf	11042
PD7219a.vcf	11621
PD7248a.vcf	13042
PD13297a.vcf	14982
PD7428a.vcf	15950
PD13296a.vcf	18582
PD6043a.vcf	22764
PD8832a.vcf	26409
PD9063a.vcf	50045

Summary for group 2:
Total files: 80
Total variants: 466231
Average variants per file: 5827.89
