Files in group 4:
Filename	Variants
PD11767a+.vcf	869
PD9578a+.vcf	1088
PD4972a+.vcf	1145
PD11370a+.vcf	1279
PD18775a+.vcf	1330
PD9589a+.vcf	1413
PD13757a+.vcf	1487
PD18100a+.vcf	1531
PD7203a+.vcf	1564
PD9581a+.vcf	1616
PD9579a+.vcf	1634
PD7209a+.vcf	1665
PD11766a+.vcf	1695
PD11762a+.vcf	1734
PD6041a+.vcf	1771
PD6466b+.vcf	1809
PD13618a+.vcf	1833
PD11385a+.vcf	1887
PD6711a2+.vcf	1914
PD4086a+.vcf	1951
PD14456a+.vcf	1977
PD6720a+.vcf	2018
PD13629a+.vcf	2029
PD13756a+.vcf	2083
PD18017a+.vcf	2108
PD9569a+.vcf	2141
PD11394a+.vcf	2209
PD18188a+.vcf	2236
PD14472a+.vcf	2298
PD11740a+.vcf	2334
PD22364a+.vcf	2402
PD5959a+.vcf	2504
PD18768a+.vcf	2556
PD11352a+.vcf	2586
PD11402a+.vcf	2636
PD4085a+.vcf	2704
PD11380a+.vcf	2720
PD11755a+.vcf	2776
PD11462a+.vcf	2839
PD6732b+.vcf	2915
PD18733a+.vcf	2994
PD24214a+.vcf	3079
PD11376a+.vcf	3152
PD4957a+.vcf	3279
PD24219a+.vcf	3319
PD11386a+.vcf	3382
PD18251a+.vcf	3487
PD14433a+.vcf	3582
PD4252a+.vcf	3773
PD13766a+.vcf	3837
PD23577a+.vcf	3970
PD5956a+.vcf	4085
PD18189a+.vcf	4272
PD8965a+.vcf	4451
PD4255a+.vcf	4554
PD4959a+.vcf	4611
PD9571a+.vcf	4700
PD8998a+.vcf	4769
PD24322a+.vcf	4868
PD9760a+.vcf	5006
PD7069a+.vcf	5131
PD13307a+.vcf	5353
PD11336a+.vcf	5585
PD9696a+.vcf	5865
PD7067a+.vcf	5980
PD11369a+.vcf	6134
PD4833a+.vcf	6401
PD6411a+.vcf	6675
PD8969a+.vcf	6820
PD11753a+.vcf	6858
PD11742a+.vcf	7005
PD23562a+.vcf	7348
PD22357a+.vcf	7719
PD8621a+.vcf	8062
PD7211a+.vcf	8286
PD22360a+.vcf	8510
PD22363a+.vcf	8905
PD4958a+.vcf	9338
PD4006a+.vcf	9575
PD22355a+.vcf	9761

Summary for group 4:
Total files: 80
Total variants: 303767
Average variants per file: 3797.09
