Files in group 6:
Filename	Variants
PD4969a+.vcf	1032
PD4606a+.vcf	1129
PD9606a+.vcf	1222
PD14450a+.vcf	1298
PD13768a+.vcf	1352
PD14461a+.vcf	1436
PD22251a+.vcf	1505
PD18116a+.vcf	1544
PD5964a+.vcf	1590
PD9593a+.vcf	1617
PD18756a+.vcf	1635
PD9193a+.vcf	1682
PD9694a+.vcf	1712
PD8981a+.vcf	1748
PD18771a+.vcf	1776
PD22359a+.vcf	1817
PD13420a+.vcf	1862
PD8617a+.vcf	1899
PD11375a+.vcf	1934
PD4225a+.vcf	1955
PD7304a+.vcf	2003
PD6418a+.vcf	2020
PD13312a+.vcf	2034
PD14459a+.vcf	2086
PD13619a+.vcf	2112
PD5950a+.vcf	2190
PD24224a+.vcf	2212
PD24195a+.vcf	2240
PD11338a+.vcf	2300
PD18047a+.vcf	2344
PD4970a+.vcf	2410
PD14454a+.vcf	2510
PD18149a+.vcf	2570
PD13631a+.vcf	2603
PD4605a+.vcf	2650
PD4965a+.vcf	2706
PD9582a+.vcf	2740
PD5936a+.vcf	2782
PD7207a+.vcf	2854
PD18748a+.vcf	2958
PD23560a+.vcf	3006
PD14465a+.vcf	3097
PD9842a+.vcf	3201
PD24218a+.vcf	3288
PD24306a+.vcf	3336
PD18049a+.vcf	3392
PD9567a+.vcf	3512
PD24220a+.vcf	3611
PD4980a+.vcf	3796
PD5946a+.vcf	3912
PD8979a+.vcf	4037
PD13608a+.vcf	4107
PD4836a+.vcf	4303
PD24303a+.vcf	4500
PD7249a+.vcf	4584
PD18749a+.vcf	4661
PD7206a+.vcf	4740
PD18048a+.vcf	4786
PD13302a+.vcf	4896
PD6406a+.vcf	5026
PD6422a+.vcf	5181
PD23559a+.vcf	5382
PD3904a+.vcf	5668
PD22361a+.vcf	5899
PD4005a+.vcf	6041
PD24215a+.vcf	6177
PD6404a+.vcf	6553
PD18264a+.vcf	6680
PD8611a+.vcf	6828
PD23554a+.vcf	6899
PD5928a+.vcf	7114
PD24186a+.vcf	7488
PD7205a+.vcf	7858
PD4116a+.vcf	8170
PD7307a+.vcf	8424
PD5925a+.vcf	8780
PD18247a+.vcf	9136
PD6047a+.vcf	9442
PD5935a+.vcf	9671
PD22366a+.vcf	9809

Summary for group 6:
Total files: 80
Total variants: 307060
Average variants per file: 3838.25
