Files in group 0:
Filename	Variants
PD4107a+.vcf	9874
PD14453a+.vcf	9916
PD24212a+.vcf	10055
PD5932a+.vcf	10060
PD11750a+.vcf	10078
PD6730b+.vcf	10089
PD6722a+.vcf	10110
PD23558a+.vcf	10134
PD24209a+.vcf	10169
PD9585a+.vcf	10284
PD4109a+.vcf	10313
PD11345a+.vcf	10351
PD24325a+.vcf	10387
PD3945a+.vcf	10551
PD9004a+.vcf	10625
PD9604a+.vcf	10669
PD13299a+.vcf	10735
PD11344a+.vcf	11028
PD4847a+.vcf	11042
PD18024a+.vcf	11104
PD8964a+.vcf	11151
PD24193a+.vcf	11237
PD13625a+.vcf	11239
PD5934a+.vcf	11579
PD4956a+.vcf	11582
PD7219a+.vcf	11621
PD11748a+.vcf	11761
PD4952a+.vcf	12033
PD10014a+.vcf	12125
PD9064a+.vcf	12351
PD11327a+.vcf	12715
PD4844a+.vcf	12810
PD7248a+.vcf	13042
PD13771a+.vcf	13089
PD23574a+.vcf	13094
PD11365a+.vcf	13652
PD6684a+.vcf	13677
PD24194a+.vcf	13695
PD11372a+.vcf	13793
PD13297a+.vcf	14982
PD5948a+.vcf	15172
PD9009a+.vcf	15210
PD24217a+.vcf	15305
PD8980a+.vcf	15459
PD24320a+.vcf	15695
PD8652a2+.vcf	15856
PD7428a+.vcf	15950
PD24327a+.vcf	16185
PD11751a+.vcf	16648
PD18020a+.vcf	17772
PD24192a+.vcf	17827
PD9576a+.vcf	17838
PD7426a+.vcf	18497
PD13296a+.vcf	18582
PD11379a+.vcf	19382
PD18045a+.vcf	19468
PD24197a+.vcf	20215
PD24201a+.vcf	20478
PD8982a+.vcf	21557
PD11465a+.vcf	22551
PD6043a+.vcf	22764
PD24333a+.vcf	22884
PD24326a+.vcf	23620
PD6412a+.vcf	25187
PD24208a+.vcf	25624
PD4607a+.vcf	25953
PD8660a2+.vcf	26128
PD8832a+.vcf	26409
PD4072a+.vcf	27931
PD24189a+.vcf	29590
PD9568a+.vcf	30395
PD13425a+.vcf	34502
PD6405a+.vcf	35317
PD4977a+.vcf	42258
PD9063a+.vcf	50045
PD23561a+.vcf	58028
PD5937a+.vcf	76097
PD23564a+.vcf	83447
PD23579a+.vcf	87311
PD13604a+.vcf	93102

Summary for group 0:
Total files: 80
Total variants: 1661041
Average variants per file: 20763.01
